,具体时间,计算空速,G值,姿态,杆量,坡度,盘量,下滑道偏差（C）,下滑道偏差（L）,下滑道偏差（R）,航向道偏差（C）,航向道偏差（L）,航向道偏差（R）,俯仰角率,下降率,RUDD位置,左油门杆位置,右油门杆位置,飞行姿态变化,坡度变化,RUDD位置变化,左油门杆位置变化,右油门杆位置变化,失重超重情况,杆量情况,盘量情况,下滑道偏差（C）情况,下滑道偏差（L）情况,下滑道偏差（R）情况,航向道偏差（C）情况,航向道偏差（L）情况,航向道偏差（R）情况,俯仰角率情况,下降率情况
0,10:34:26,30,1.0313,-0.2197,-0.001,0.0879,0.0115,-4.94,-5.39,-0.79,-1.31,-4.15,-2.07,0.0625,2,-0.2617,33.9697,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,异常C,异常L,正常,正常,正常,正常,正常,正常
1,10:34:27,30,1.0273,-0.2197,-0.001,0.0879,0.0115,-2.5,-2.28,-1.44,-2.2,-4.23,-3.56,-0.125,1,-0.2637,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
2,10:34:28,30,1.0234,-0.2197,-0.001,0.0879,0.0115,-0.52,-0.17,-2.34,-4.26,-4.49,-4.38,0,0,-0.2637,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
3,10:34:29,30,1.0273,-0.2197,-0.001,0.0879,0.0115,-0.01,-0.43,-3,-4.78,-4.58,-4.78,0,-1,-0.2656,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
4,10:34:30,30,1.0156,-0.2197,-0.001,0.0879,0.0115,-1.21,-1.29,-2.7,-3.77,-4.47,-4.17,-0.0625,-8,-0.2656,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
5,10:34:31,30,1.0313,-0.2197,-0.001,0.0879,0.0115,-1.97,-1.92,-0.62,-2.83,-2.73,-3.86,-0.0625,-7,-0.2695,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
6,10:34:32,30,1.043,-0.2197,-0.001,0.0879,0.0115,-2.15,-2.04,-1.65,-4.44,-4.47,-4.46,0.0625,-2,-0.2695,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
7,10:34:33,30,1.0508,-0.2197,-0.001,0.0879,0.0115,-2.05,-1.55,-2.63,-4.51,-4.58,-4.55,-0.0625,-6,-0.2656,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
8,10:34:34,30,1.0313,-0.2197,-0.001,0.0879,0.0115,-1.07,-0.42,-0.21,-4.45,-4.44,-4.49,-0.0625,-2,-0.2656,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
9,10:34:35,30,1.0352,-0.2197,-0.001,0.0879,0.0115,-2.24,-2.77,-2.4,-4.59,-4.56,-4.6,0.0625,3,-0.2676,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
10,10:34:36,30,1.0156,-0.2197,-0.001,0.0879,0.0115,-1.3,-0.42,-1.58,-4.78,-4.66,-4.86,-0.0625,-2,-0.2676,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
11,10:34:37,30,1.0391,-0.2197,-0.001,0.0879,0.0115,-0.84,-2.19,-3.33,-4.22,-4.41,-4.26,0.125,0,-0.2695,34.0137,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,异常R,正常,正常,正常,正常,正常
